UniqueID,BottleNo,True Bottle ID,NumID,Location No,Distance from Dam,Lake ID (4 dig.),Sampling Type (B/S),NH4 (ppm),NOx (ppm),PO4 (ppm),Microcystin (ug/L),Chla (ug/L),Pheo (ug/L),TOC (ppm),TN (AVG) mg/L? [TOC],Coastal Blue,Blue,Green1,Green2,Yellow,Red,Red Edge,NIR,Depth (m),COND µS/CM,TDS MG/L,Salinity PSU,VERTICAL POSITION M,ODO MG/L,GPS LATITUDE °,GPS LONGITUDE °,PH,TEMP C,TURBIDITY FNU,Month,Day,Year,Date
10288,20240604-SHAF-B5,20240604-SHAF-B5,4105,5,6425,SHAF,Boat,-0.0024,3.635,0.335,NULL,50.595,10.07,2.777202492,1.523979779,347.923,426.545,534.177,596.492,619.484,538.432,608.985,729.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,4,2024,6/4/2024
10289,20240604-SHAF-B6,20240604-SHAF-B6,4106,6,8245,SHAF,Boat,0.0114,3.283,0.246,NULL,1.456666667,2.466666667,3.417826228,2.301063372,292.315,361.414,444.134,513.886,554.083,525.541,504.172,655.886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,4,2024,6/4/2024
10290,20240604-SHAF-B8,20240604-SHAF-B8,4108,8,5065,SHAF,Boat,0.0171,5.709,0.242,NULL,1.723333333,2.9,2.51427878,3.293454208,233.146,292.033,376.225,446.906,483.21,430.847,414.085,535.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,4,2024,6/4/2024
10291,20240604-SHAF-B9,20240604-SHAF-B9,4109,9,3385,SHAF,Boat,0.0075,2.532,0.235,NULL,23.36666667,15.71666667,3.564456759,2.604955319,237.688,308.452,379.745,450.357,479.975,419.866,441.646,625.771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,4,2024,6/4/2024
10292,20240604-SHAF-B10,20240604-SHAF-B10,4110,10,2205,SHAF,Boat,-0.0039,3.533,0.242,NULL,26.55,3.726666667,3.225689669,2.221559104,415.451,519.632,595.067,662.165,702.162,657.141,621.677,701.347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,4,2024,6/4/2024
10293,20240604-SHAF-B11,20240604-SHAF-B11,4111,11,1385,SHAF,Boat,-0.0031,5.037,0.242,NULL,41.63666667,32.41,3.577602945,3.388092537,300.079,352.165,441.962,509.619,545.32,473.342,506.252,630.898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,4,2024,6/4/2024
10294,20240604-SHAF-B12,20240604-SHAF-B12,4112,12,275,SHAF,Boat,0.0281,3.994,0.241,NULL,28.04666667,24.44,3.355634657,2.642891366,376.174,460.298,532.32,589.063,630.912,579.61,581.421,717.306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,4,2024,6/4/2024
10295,20240604-SHAF-B14,20240604-SHAF-B14,4114,14,4225,SHAF,Boat,0.0145,3.213,0.254,NULL,3.83,3.25,3.335915379,2.303081246,394.847,488.317,567.684,642.171,685.349,639.071,621.188,766.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,4,2024,6/4/2024
10296,20240604-SHAF-B15,20240604-SHAF-B15,4115,15,2905,SHAF,Boat,0.0003,3.619,0.21,NULL,16.78333333,2.78,3.084115363,2.179183733,290.641,360.588,446.219,514.726,545.745,491.492,474.628,588.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,4,2024,6/4/2024
10297,20240606-SALA-B1,20240606-SALA-B1,3101,1,5210,SALA,Boat,-0.4957,2.815,0.027,NULL,34.3,20.30666667,3.580014363,1.413091478,189.334,324.036,474.276,541.399,545.119,487.19,538.321,489.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,6,2024,6/6/2024
